informal_stmt,formal_stmt,header,proof_state,mathlib_dependencies,hard_dependencies,source,problem_name,full_name,problem_type,split
"Suppose that $f$ is holomorphic in an open set $\Omega$. Prove that if $\text{Re}(f)$ is constant, then $f$ is constant.","theorem exercise_1_13a {f : ℂ → ℂ} (Ω : Set ℂ) (a b : Ω) (h : IsOpen Ω)
  (hf : DifferentiableOn ℂ f Ω) (hc : ∃ (c : ℝ), ∀ z ∈ Ω, (f z).re = c) :
  f a = f b :=
sorry","import Mathlib

open Complex Filter Function Metric Finset
open scoped BigOperators Topology


","f : ℂ → ℂ
Ω : Set ℂ
a, b : ↑Ω
h : IsOpen Ω
hf : DifferentiableOn ℂ f Ω
hc : ∃ c, ∀ z ∈ Ω, (f z).re = c
⊢ f ↑a = f ↑b","['Set', 'IsOpen', 'DifferentiableOn']",[],Shakarchi,exercise_1_13a,Shakarchi.exercise_1_13a,proof,test
"Suppose that $f$ is holomorphic in an open set $\Omega$. Prove that if $\text{Im}(f)$ is constant, then $f$ is constant.","theorem exercise_1_13b {f : ℂ → ℂ} (Ω : Set ℂ) (a b : Ω) (h : IsOpen Ω)
  (hf : DifferentiableOn ℂ f Ω) (hc : ∃ (c : ℝ), ∀ z ∈ Ω, (f z).im = c) :
  f a = f b :=
sorry","import Mathlib

open Complex Filter Function Metric Finset
open scoped BigOperators Topology


","f : ℂ → ℂ
Ω : Set ℂ
a, b : ↑Ω
h : IsOpen Ω
hf : DifferentiableOn ℂ f Ω
hc : ∃ c, ∀ z ∈ Ω, (f z).im = c
⊢ f ↑a = f ↑b","['Set', 'IsOpen', 'DifferentiableOn']",[],Shakarchi,exercise_1_13b,Shakarchi.exercise_1_13b,proof,test
"Suppose that $f$ is holomorphic in an open set $\Omega$. Prove that if $|f|$ is constant, then $f$ is constant.","theorem exercise_1_13c {f : ℂ → ℂ} (Ω : Set ℂ) (a b : Ω) (h : IsOpen Ω)
  (hf : DifferentiableOn ℂ f Ω) (hc : ∃ (c : ℝ), ∀ z ∈ Ω, abs (f z) = c) :
  f a = f b :=
sorry","import Mathlib

open Complex Filter Function Metric Finset
open scoped BigOperators Topology


","f : ℂ → ℂ
Ω : Set ℂ
a, b : ↑Ω
h : IsOpen Ω
hf : DifferentiableOn ℂ f Ω
hc : ∃ c, ∀ z ∈ Ω, Complex.abs (f z) = c
⊢ f ↑a = f ↑b","['Set', 'IsOpen', 'DifferentiableOn', 'Complex.abs']",[],Shakarchi,exercise_1_13c,Shakarchi.exercise_1_13c,proof,test
Prove that the power series $\sum nz^n$ does not converge on any point of the unit circle.,"theorem exercise_1_19a (z : ℂ) (hz : abs z = 1) (s : ℕ → ℂ)
    (h : s = (λ n => ∑ i in (range n), i * z ^ i)) :
    ¬ ∃ y, Tendsto s atTop (𝓝 y) :=
sorry","import Mathlib

open Complex Filter Function Metric Finset
open scoped BigOperators Topology


","z : ℂ
hz : Complex.abs z = 1
s : ℕ → ℂ
h : s = fun n ↦ ∑ i in Finset.range n, ↑i * z ^ i
⊢ ¬∃ y, Filter.Tendsto s Filter.atTop (𝓝 y)","['Complex.abs', 'Finset.range', 'Filter.Tendsto', 'Filter.atTop']",[],Shakarchi,exercise_1_19a,Shakarchi.exercise_1_19a,proof,test
Prove that the power series $\sum zn/n^2$ converges at every point of the unit circle.,"theorem exercise_1_19b (z : ℂ) (hz : abs z = 1) (s : ℕ → ℂ)
    (h : s = (λ n => ∑ i in (range n), i * z / i ^ 2)) :
    ∃ y, Tendsto s atTop (𝓝 y) :=
sorry","import Mathlib

open Complex Filter Function Metric Finset
open scoped BigOperators Topology


","z : ℂ
hz : Complex.abs z = 1
s : ℕ → ℂ
h : s = fun n ↦ ∑ i in Finset.range n, ↑i * z / ↑i ^ 2
⊢ ∃ y, Filter.Tendsto s Filter.atTop (𝓝 y)","['Complex.abs', 'Finset.range', 'Filter.Tendsto', 'Filter.atTop']",[],Shakarchi,exercise_1_19b,Shakarchi.exercise_1_19b,proof,test
Prove that the power series $\sum zn/n$ converges at every point of the unit circle except $z = 1$.,"theorem exercise_1_19c (z : ℂ) (hz : abs z = 1) (hz2 : z ≠ 1) (s : ℕ → ℂ)
    (h : s = (λ n => ∑ i in (range n), i * z / i)) :
    ∃ z, Tendsto s atTop (𝓝 z) :=
sorry","import Mathlib

open Complex Filter Function Metric Finset
open scoped BigOperators Topology


","z : ℂ
hz : Complex.abs z = 1
hz2 : z ≠ 1
s : ℕ → ℂ
h : s = fun n ↦ ∑ i in Finset.range n, ↑i * z / ↑i
⊢ ∃ z, Filter.Tendsto s Filter.atTop (𝓝 z)","['Complex.abs', 'Finset.range', 'Filter.Tendsto', 'Filter.atTop']",[],Shakarchi,exercise_1_19c,Shakarchi.exercise_1_19c,proof,test
Suppose $f$ is continuous in a region $\Omega$. Prove that any two primitives of $f$ (if they exist) differ by a constant.,"theorem exercise_1_26
  (f F₁ F₂ : ℂ → ℂ) (Ω : Set ℂ) (h1 : IsOpen Ω) (h2 : IsConnected Ω)
  (hF₁ : DifferentiableOn ℂ F₁ Ω) (hF₂ : DifferentiableOn ℂ F₂ Ω)
  (hdF₁ : ∀ x ∈ Ω, deriv F₁ x = f x) (hdF₂ : ∀ x ∈ Ω, deriv F₂ x = f x)
  : ∃ c : ℂ, ∀ x, F₁ x = F₂ x + c :=
sorry","import Mathlib

open Complex Filter Function Metric Finset
open scoped BigOperators Topology


","f, F₁, F₂ : ℂ → ℂ
Ω : Set ℂ
h1 : IsOpen Ω
h2 : IsConnected Ω
hF₁ : DifferentiableOn ℂ F₁ Ω
hF₂ : DifferentiableOn ℂ F₂ Ω
hdF₁ : ∀ x ∈ Ω, deriv F₁ x = f x
hdF₂ : ∀ x ∈ Ω, deriv F₂ x = f x
⊢ ∃ c, ∀ (x : ℂ), F₁ x = F₂ x + c","['Set', 'IsOpen', 'IsConnected', 'DifferentiableOn', 'deriv']",[],Shakarchi,exercise_1_26,Shakarchi.exercise_1_26,proof,test
Show that $\int_{0}^{\infty} \frac{\sin x}{x} d x=\frac{\pi}{2}$.,"theorem exercise_2_2 :
  Tendsto (λ y => ∫ x in (0 : ℝ)..y, Real.sin x / x) atTop (𝓝 (Real.pi / 2)) :=
sorry","import Mathlib

open Complex Filter Function Metric Finset
open scoped BigOperators Topology


","⊢ Filter.Tendsto (fun y ↦ ∫ (x : ℝ) in 0 ..y, Real.sin x / x) Filter.atTop (𝓝 (Real.pi / 2))","['Filter.Tendsto', 'Real.sin', 'Filter.atTop', 'Real.pi']",[],Shakarchi,exercise_2_2,Shakarchi.exercise_2_2,proof,test
"Let $\Omega$ be a bounded open subset of $\mathbb{C}$, and $\varphi: \Omega \rightarrow \Omega$ a holomorphic function. Prove that if there exists a point $z_{0} \in \Omega$ such that $\varphi\left(z_{0}\right)=z_{0} \quad \text { and } \quad \varphi^{\prime}\left(z_{0}\right)=1$ then $\varphi$ is linear.","theorem exercise_2_9
  {f : ℂ → ℂ} (Ω : Set ℂ) (b : Bornology.IsBounded Ω) (h : IsOpen Ω)
  (hf : DifferentiableOn ℂ f Ω) (z : Ω) (hz : f z = z) (h'z : deriv f z = 1) :
  ∃ (f_lin : ℂ →L[ℂ] ℂ), ∀ x ∈ Ω, f x = f_lin x :=
sorry","import Mathlib

open Complex Filter Function Metric Finset
open scoped BigOperators Topology


","f : ℂ → ℂ
Ω : Set ℂ
b : Bornology.IsBounded Ω
h : IsOpen Ω
hf : DifferentiableOn ℂ f Ω
z : ↑Ω
hz : f ↑z = ↑z
h'z : deriv f ↑z = 1
⊢ ∃ f_lin, ∀ x ∈ Ω, f x = f_lin x","['Set', 'Bornology.IsBounded', 'IsOpen', 'DifferentiableOn', 'deriv']",[],Shakarchi,exercise_2_9,Shakarchi.exercise_2_9,proof,test
Suppose $f$ is an analytic function defined everywhere in $\mathbb{C}$ and such that for each $z_0 \in \mathbb{C}$ at least one coefficient in the expansion $f(z) = \sum_{n=0}^\infty c_n(z - z_0)^n$ is equal to 0. Prove that $f$ is a polynomial.,"theorem exercise_2_13 {f : ℂ → ℂ}
    (hf : ∀ z₀ : ℂ, ∃ (s : Set ℂ) (c : ℕ → ℂ), IsOpen s ∧ z₀ ∈ s ∧
      ∀ z ∈ s, Tendsto (λ n => ∑ i in range n, (c i) * (z - z₀)^i) atTop (𝓝 (f z₀))
      ∧ ∃ i, c i = 0) :
    ∃ (c : ℕ → ℂ) (n : ℕ), f = λ z => ∑ i in range n, (c i) * z ^ n :=
sorry","import Mathlib

open Complex Filter Function Metric Finset
open scoped BigOperators Topology


","f : ℂ → ℂ
hf : ∀ (z₀ : ℂ), ∃ s c, IsOpen s ∧ z₀ ∈ s ∧ ∀ z ∈ s, Filter.Tendsto (fun n ↦ ∑ i in Finset.range n, c i * (z - z₀) ^ i) Filter.atTop (𝓝 (f z₀)) ∧ ∃ i, c i = 0
⊢ ∃ c n, f = fun z ↦ ∑ i in Finset.range n, c i * z ^ n","['IsOpen', 'Filter.Tendsto', 'Finset.range', 'Filter.atTop']",[],Shakarchi,exercise_2_13,Shakarchi.exercise_2_13,proof,test
